,query,filename
31,"What was the original purpose of the elaborate medieval ceremony associated with the founding of the Most Honourable Order of the Bath, and how often are installation ceremonies held at the abbey?",ctx_experiment_frames/llm_v_pg.csv
32,What was the primary reason for the unfinished state of the church when Richard II first arrived?,ctx_experiment_frames/llm_v_pg.csv
33,What was the main occupation of John Stevens Henslow?,ctx_experiment_frames/avs6_v_avs4p2.csv
34,"What is the central theme or argument of Darwin's research concerning human population growth and its potential consequences, as presented in his writings?",ctx_experiment_frames/avs6_v_avs4p2.csv
35,What was the main occupation of John Stevens Henslow?,ctx_experiment_frames/avs6_v_avs2p2p2.csv
36,"What is the central theme or argument of Darwin's research concerning human population growth and its potential consequences, as presented in his writings?",ctx_experiment_frames/avs6_v_avs2p2p2.csv
37,"Considering the bibliography provided, how does ""Whatever is Under the Earth: The Geological Society of London 1807 to 2007"" contribute to our understanding of the Society's history and impact over two centuries?",ctx_experiment_frames/pg4p2_v_pg2p2p2.csv
38,"Why was the nave constructed over the course of centuries, and what was the initial impact of the building process?",ctx_experiment_frames/vs6_v_vs2p2p2.csv
39,- 1. The Wedgwood family relocated to Down House after what event?,ctx_experiment_frames/vs6_v_vs2p2p2.csv
40,How many years did it take to finish the church after the donation of funds?,ctx_experiment_frames/vs6_v_vs2p2p2.csv
41,"What is the significance of the Diagnostic Society of Edinburgh, and what connection does it have to the university?",ctx_experiment_frames/allm_v_llm.csv
42,"What is the primary focus of the University's research activities, as highlighted in the document?",ctx_experiment_frames/allm_v_llm.csv
43,What specific geographic features and discoveries did Darwin make during his voyage on HMS Beagle?,ctx_experiment_frames/allm_v_llm.csv
44,"The Henry VII Lady Chapel is notable for its decoration, particularly the 95 statues of saints.  What is a significant detail about the ceiling's design?",ctx_experiment_frames/allm_v_llm.csv
45,"What is the primary reason for Charles Darwin's intense interest in evolution during the 1870s, as highlighted in the text?",ctx_experiment_frames/allm_v_llm.csv
46,What was the main occupation of John Stevens Henslow?,ctx_experiment_frames/allm_v_llm.csv
47,What was the purpose of the BioQuarter project?,ctx_experiment_frames/pg6_v_pg2p2p2.csv
48,What was the main occupation of John Stevens Henslow?,ctx_experiment_frames/pg6_v_pg2p2p2.csv
